,tweet,tidy_tweet,stemmed,polarity
0,"RT @TrollFootball_6: The Trio Messi, Neymar &amp; Mbappe is too unfair to the others . The Guys will have the best creator in the World , the b…", The Trio Messi  Neymar  amp  Mbappe is too unfair to the others   The Guys will have the best creator in the World   the b ,the trio messi neymar amp mbapp is too unfair to the other the guy will have the best creator in the world the b,0.125
1,RT @ClintsAyebare: Pedri in December trying to fill the Messi role https://t.co/SqgWTzkq4H, Pedri in December trying to fill the Messi role ,pedri in decemb tri to fill the messi role,0.0
2,RT @shawtaee: Boys make fun of girls for talking about BTS all the time and then go on to talk about Messi leaving Barcelona for hours, Boys make fun of girls for talking about BTS all the time and then go on to talk about Messi leaving Barcelona for hours,boy make fun of girl for talk about bts all the time and then go on to talk about messi leav barcelona for hour,0.3
3,RT @KahunaKome: He heard that Messi news and threw himself down the stairs, He heard that Messi news and threw himself down the stairs,he heard that messi news and threw himself down the stair,-0.15555555555555559
4,RT @andreaxfc: bless the journalist who asked messi to smile one last time in front of the barça crest💙❤️ https://t.co/guLZu3wPAT, bless the journalist who asked messi to smile one last time in front of the bar a crest    ,bless the journalist who ask messi to smile one last time in front of the bar a crest,0.15
5,RT @goal: Lionel Messi will undergo a medical at PSG tomorrow 🇫🇷 https://t.co/lrDi4UkNlm, Lionel Messi will undergo a medical at PSG tomorrow    ,lionel messi will undergo a medic at psg tomorrow,0.0
6,@trfcste @SirPELE_TheKING @vajevic @GaryLineker @FCBarcelona That is amazing. It’s like a cult with him fat worse t… https://t.co/g5QM9TPq9f, trfcste  SirPELE TheKING  vajevic  GaryLineker  FCBarcelona That is amazing  It s like a cult with him fat worse t  ,trfcste sirpel theke vajev garylinek fcbarcelona that is amaz it s like a cult with him fat wors t,0.0
7,"RT @FaruqBashar: Every cent Messi earned at Barcelona, he deserved it.", Every cent Messi earned at Barcelona  he deserved it ,everi cent messi earn at barcelona he deserv it,0.0
8,"RT @TopboyNas: @goal Scenes when Messi meets Mbappe at PSG in the restaurant

“You said Ronaldo is your idol” https://t.co/nivpKZyEuU",  goal Scenes when Messi meets Mbappe at PSG in the restaurant   You said Ronaldo is your idol  ,goal scene when messi meet mbapp at psg in the restaur you said ronaldo is your idol,0.0
9,@VIC_11s @goal I am a neymar fan but I totally disagree you 😂😂😂😂😂😂😂 MESSI will always be the GOD of football, VIC   s  goal I am a neymar fan but I totally disagree you         MESSI will always be the GOD of football,vic s goal i am a neymar fan but i total disagre you messi will alway be the god of footbal,0.0
10,RT @theMadridZone: 🚨| FC Barcelona executive Jaume Llopis resigns from the club as he believes Joan Laporta is facilitating Kylian Mbappé's…,    FC Barcelona executive Jaume Llopis resigns from the club as he believes Joan Laporta is facilitating Kylian Mbapp  s ,fc barcelona execut jaum llopi resign from the club as he believ joan laporta is facilit kylian mbapp s,0.0
